league,time_stamp
nfl,2020-12-11T10:18:28.222874952Z
nfl,2020-12-11T11:18:28.098737371Z
nfl,2020-12-11T12:18:28.556973808Z
nfl,2020-12-11T13:18:28.054369736Z
nfl,2020-12-11T14:18:28.305699673Z
nfl,2020-12-11T15:18:28.371613604Z
nfl,2020-12-11T16:18:28.292736092Z
nfl,2020-12-11T17:18:28.12550841Z
nfl,2020-12-11T18:18:28.106083654Z
nfl,2020-12-11T19:18:28.522902743Z
nfl,2020-12-11T20:18:28.234227919Z
nfl,2020-12-11T21:18:28.520767393Z
nfl,2020-12-11T22:18:28.401827849Z
nfl,2020-12-11T23:18:28.229182605Z
nfl,2020-12-12T00:18:27.973089786Z
nfl,2020-12-12T01:18:28.229723236Z
nfl,2020-12-12T02:18:28.159847197Z
nfl,2020-12-12T03:18:28.132960227Z
nfl,2020-12-12T04:18:28.425276612Z
nfl,2020-12-12T05:18:28.45612128Z
nfl,2020-12-12T06:18:28.572541554Z
nfl,2020-12-12T07:18:28.032462717Z
nfl,2020-12-12T08:18:28.289312552Z
nfl,2020-12-12T09:18:28.596265587Z
nfl,2020-12-12T10:18:28.399929815Z
nfl,2020-12-12T11:18:28.591197502Z
nfl,2020-12-12T12:18:27.964252696Z
nfl,2020-12-12T13:18:28.281794057Z
nfl,2020-12-12T14:18:28.289184987Z
nfl,2020-12-12T15:18:27.862927006Z
nfl,2020-12-12T16:18:27.990189797Z
nfl,2020-12-12T17:18:28.201981553Z
nfl,2020-12-12T18:18:28.171390325Z
nfl,2020-12-12T19:18:28.40632848Z
nfl,2020-12-12T20:18:28.274059554Z
nfl,2020-12-12T21:18:28.371476214Z
nfl,2020-12-12T22:18:28.464395107Z
nfl,2020-12-12T23:18:28.144417903Z
nfl,2020-12-13T00:18:28.073285964Z
nfl,2020-12-13T01:18:28.401801039Z
nfl,2020-12-13T02:18:28.228000964Z
nfl,2020-12-13T03:18:28.110797693Z
nfl,2020-12-13T04:18:29.513587331Z
nfl,2020-12-13T05:18:28.195634211Z
nfl,2020-12-13T06:18:28.253992976Z
nfl,2020-12-13T07:18:28.179164955Z
nfl,2020-12-13T08:18:28.485196392Z
nfl,2020-12-13T09:18:28.853339645Z
nfl,2020-12-13T10:18:28.205164861Z
nfl,2020-12-13T11:18:28.173548985Z
nfl,2020-12-13T12:18:28.312143956Z
nfl,2020-12-13T13:18:28.151471479Z
nfl,2020-12-13T14:16:25.698037456Z
nfl,2020-12-13T14:18:27.678678848Z
nfl,2020-12-13T14:32:19.919516748Z
nfl,2020-12-13T15:18:28.261892397Z
nfl,2020-12-13T15:55:11.478230717Z
nfl,2020-12-13T16:18:28.268931581Z
nfl,2020-12-13T17:18:28.466465121Z
nfl,2020-12-13T18:18:28.311061385Z
nfl,2020-12-13T19:18:28.094724333Z
nfl,2020-12-13T20:18:28.253109969Z
nfl,2020-12-13T21:18:28.155010899Z
nfl,2020-12-13T22:18:28.176256334Z
nfl,2020-12-13T23:18:28.279624114Z
nfl,2020-12-14T00:18:28.351769484Z
nfl,2020-12-14T01:18:28.283248812Z
nfl,2020-12-14T02:18:28.110114592Z
nfl,2020-12-14T03:18:28.343987832Z
nfl,2020-12-14T04:18:28.302218497Z
nfl,2020-12-14T05:18:28.227382765Z
nfl,2020-12-14T06:18:28.449145923Z
nfl,2020-12-14T07:18:28.281465496Z
nfl,2020-12-14T08:18:28.169980961Z
nfl,2020-12-14T09:18:28.284516743Z
nfl,2020-12-14T10:18:28.215014494Z
nfl,2020-12-14T11:18:27.94281146Z
nfl,2020-12-14T12:18:28.104151279Z
nfl,2020-12-14T13:18:28.216580426Z
nfl,2020-12-14T14:18:28.042989225Z
nfl,2020-12-14T15:18:32.203207988Z
nfl,2020-12-14T16:18:28.284830938Z
nfl,2020-12-14T17:18:28.287999827Z
nfl,2020-12-14T18:18:28.285025098Z
nfl,2020-12-14T19:18:28.117942853Z
nfl,2020-12-14T20:18:28.37672703Z
nfl,2020-12-14T21:18:28.411421528Z
